,Title,URL,Description,Sponsor,Type,Deadline,Image Link
15,Science Mathematics and Research for Transformation (SMART) Scholarship-for-Service Program,https://phd.northeastern.edu/opportunity/science-mathematics-and-research-for-transformation-smart-scholarship-for-service-program-3/," The Science, Mathematics, and Research for Transformation (SMART) Scholarship-for-Service Program, funded by the Department of Defense (DoD), is a combined… ",DOD - Department of Defense,"Experiential PhD Opportunities, Fellowship, Predoctoral",12/01/2023,https://phd.northeastern.edu/wp-content/uploads/2017/09/DoD_Seal.png
16,University of Utah 2024-25 Tanner Visiting Research Fellowship,https://phd.northeastern.edu/opportunity/university-of-utah-2023-24-tanner-visiting-research-fellowship-2/," The Tanner Humanities Center's mission is to promote humanistic research and education at the University of Utah, in the state,… ",The University of Utah,"Experiential PhD Opportunities, Fellowship, Predoctoral, Postdoctoral",12/01/2023,https://phd.northeastern.edu/wp-content/uploads/2022/10/Tanner-Humanities-Center_logoandgraphic_color-1024x341.png
17,University of Virginia – The Carter G. Woodson Institute Predoctoral Fellowship,https://phd.northeastern.edu/opportunity/university-of-virginia-the-carter-g-woodson-institute-predoctoral-fellowship-2/," The Carter G. Woodson Institute's distinguished fellowship is a two-year residential fellowship for pre-doctoral students whose work focuses on Africa and/or the African Diaspora,… ",University of Virginia,"Fellowship, Predoctoral",12/01/2023,https://phd.northeastern.edu/wp-content/uploads/2022/10/University-of-Virginia.png
18,ASEH Fellowships,https://phd.northeastern.edu/opportunity/aseh-fellowships-2/," The ASEH currently offers three research fellowships for graduate students: the Hal Rothman Dissertation Fellowship, the J. Donald Hughes Graduate… ",ASEH American Society for Environmental History,"Fellowship, Travel Award, Predoctoral",11/20/2023,https://phd.northeastern.edu/wp-content/uploads/2022/10/ASEH.png
19,American Council of Learned Societies (ACLS) / Robert H. N. Ho Family Foundation – Dissertation Fellowship in Buddhist Studies,https://phd.northeastern.edu/opportunity/american-council-of-learned-societies-acls-robert-h-n-ho-family-foundation-dissertation-fellowship-in-buddhist-studies-3/, The Robert H. N. Ho Family Foundation Dissertation Fellowships in Buddhist Studies provide stipends to PhD candidates for full time preparation… ,ACLS - American Council of Learned Studies,"Fellowship, Predoctoral",11/30/2023,https://phd.northeastern.edu/wp-content/uploads/2018/01/ACLS-Logo.jpg
20,Saul Kagan Fellowship in Advanced Shoah Studies,https://phd.northeastern.edu/opportunity/saul-kagan-fellowship-in-advanced-shoah-studies-2/," Claims Conference Kagan Fellowships are available for doctoral and post-doctoral candidates around the world conducting Holocaust-related research. Each year, the… ",Conference on Jewish Material Claims Against Germany,Fellowship,12/22/2023,https://phd.northeastern.edu/wp-content/uploads/2022/11/Claims-Conference.png
21,Harvard University – John F. Kennedy School of Government – Belfer Center for Science and International Affairs – Predoctoral and Postdoctoral Fellowships,https://phd.northeastern.edu/opportunity/harvard-university-john-f-kennedy-school-of-government-belfer-center-for-science-and-international-affairs-predoctoral-and-postdoctoral-fellowships-3/, The Belfer Center for Science and International Affairs offers research fellowships during the academic year to individuals who wish to… ,Harvard University,"Experiential PhD Opportunities, Fellowship, Predoctoral, Postdoctoral",12/01/2023,https://phd.northeastern.edu/wp-content/uploads/2018/01/belfer.jpg
22,Harvard University – John F. Kennedy School of Government – Belfer Center for Science and International Affairs – Artic Initiative,https://phd.northeastern.edu/opportunity/harvard-university-john-f-kennedy-school-of-government-belfer-center-for-science-and-international-affairs-artic-initiative-2/," In the 2024-2025  academic year, we will prioritize policy-focused proposals on: Permafrost Thaw (policy implications of improved understanding of how pace… ",Harvard University,"Experiential PhD Opportunities, Fellowship, Predoctoral, Postdoctoral",12/01/2023,https://phd.northeastern.edu/wp-content/uploads/2018/01/belfer.jpg
23,Kate Neal Kinley Memorial Fellowship,https://phd.northeastern.edu/opportunity/kate-neal-kinley-memorial-fellowship-2/," Are you seeking advanced study in architecture, art, dance, landscape architecture, music, theatre, or urban and regional planning? We invite… ",Illinois College of Fine & Applied Arts,"Fellowship, Predoctoral",12/01/2023,https://phd.northeastern.edu/wp-content/uploads/2022/10/Illinois-College-of-Fine-Applied-Arts.png
24,American Druze Foundation Fellowship,https://phd.northeastern.edu/opportunity/american-druze-foundation-fellowship-2/, The Georgetown University Center for Contemporary Arab Studies (CCAS) is pleased to partner with the American Druze Foundation (ADF) to… ,Georgetown University,"Experiential PhD Opportunities, Fellowship, Postdoctoral",01/05/2024,https://phd.northeastern.edu/wp-content/uploads/2022/11/Center-for-Contemporary-Arab-Studies.jpg
